TRANSPORTUL PUBLIC,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Număr de tramvaie puse în funcțiune,82,146,146,143,153,159,159,158,147,160,153,143,108,162,178,191,189,200,228,239,217,250,253,223,199,257,257,257,257,257
Număr de troleibuze puse în funcțiune,50,50,50,50,50,50,50,50,50,50,50,92,51,57,67,78,84,98,111,86,79,68,71,78,78,76,70,73,73,83
Număr de autobuze puse în funcțiune,105,99,108,108,108,108,113,114,113,113,83,88,94,112,129,87,84,86,89,77,67,81,89,93,87,87,96,95,95,73
Număr călători cu tramvaiul (mii pasageri) TIMIS,104142,91359,85756,82302,35035,36154,38122,36311,51032,72774,58355,47893,43413,32895,30296,40786,50262,45743,49626,47428,51360,50676,53815,52347,58433,65184,72471,122370,105436,80062
Număr călători cu troleibuzul (mii pasageri) TIMIS,35353,33847,34861,35100,17347,18074,19061,18950,24570,33306,21964,14893,12823,15219,19797,25558,26214,22927,25564,24710,24105,24038,25758,25464,28711,26885,26310,35104,35347,31389
Număr călători cu autobuze și microbuze (mii pasageri)  TIMIS,32774,35119,42667,42919,19582,19243,20230,19929,25800,35247,26152,29184,34884,34503,28416,31384,32007,25961,23690,18982,15263,13467,13074,15810,14595,19408,23026,32614,23154,22714
Lungimea traseelor de tramvai (km) TIMIS,88,88,88,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91,90,90,90,90,90,90,77
Lungimea traseelor de troleibuz (km) TIMIS,75,75,75,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,64,64,64,64,64,71,71,57
