indicator,an,valoare
Număr de biciclete puse în funcțiune,2018-01-01T00:00:00,434
Număr de biciclete puse în funcțiune,2019-01-01T00:00:00,434
Numărul utilizatorilor de biciclete,2018-01-01T00:00:00,22794
Numărul utilizatorilor de biciclete,2019-01-01T00:00:00,24191
