indicator,an,valoare
Număr total călători în staţiile CFR din zona Polului de creştere Timişoara,2018-01-01T00:00:00,1000312
Număr total călători în staţiile CFR din zona Polului de creştere Timişoara,2019-01-01T00:00:00,943154
Total linie curenta si directa (km),2019-01-01T00:00:00,799.007
Total linii abatute din stații (km),2019-01-01T00:00:00,256.491
Total linii (km),2019-01-01T00:00:00,1055.498
Viteza comerciala medie (km/h)  Trenuri de calatori Regio,2019-01-01T00:00:00,40.25
Viteza comerciala medie (km/h) Trenuri de marfa,2019-01-01T00:00:00,32.14
