collectedAt,timeSlot,incidentId,type,severity,lat,lng
2026-05-14T10:02:50.386Z,all,inc-0,8,,45.7569274493,21.1943998563
2026-05-14T10:02:50.386Z,all,inc-1,8,,45.732825149,21.2020736563
2026-05-14T10:02:50.386Z,all,inc-2,8,,45.7487587712,21.2031975019
2026-05-14T10:02:50.386Z,all,inc-3,8,,45.7474887759,21.2039632726
2026-05-14T10:02:50.386Z,all,inc-4,8,,45.7456809729,21.2053177881
2026-05-14T10:02:50.386Z,all,inc-5,8,,45.7460859746,21.2049503255
2026-05-14T10:02:50.386Z,all,inc-6,8,,45.7443907857,21.1995228755
2026-05-14T10:02:50.386Z,all,inc-7,8,,45.7469214712,21.207240932
2026-05-14T10:02:50.386Z,all,inc-8,6,,45.7443680316,21.2090836096
2026-05-14T10:02:50.386Z,all,inc-9,6,,45.7471709362,21.2100076306
2026-05-14T10:02:50.386Z,all,inc-10,6,,45.7509595677,21.2109692025
2026-05-14T10:02:50.386Z,all,inc-11,6,,45.7474860853,21.2172093618
2026-05-14T10:02:50.386Z,all,inc-12,6,,45.7490417423,21.2162182855
2026-05-14T10:02:50.386Z,all,inc-13,9,,45.7690040775,21.2202778089
2026-05-14T10:02:50.386Z,all,inc-14,6,,45.7618198021,21.224436574
2026-05-14T10:02:50.386Z,all,inc-15,6,,45.7582712648,21.2232577431
2026-05-14T10:02:50.386Z,all,inc-16,6,,45.7737516105,21.2320111322
2026-05-14T10:02:50.386Z,all,inc-17,6,,45.7481486062,21.2320486832
2026-05-14T10:02:50.386Z,all,inc-18,6,,45.7628577952,21.2329820919
2026-05-14T10:02:50.386Z,all,inc-19,9,,,
2026-05-14T10:02:50.386Z,all,inc-20,9,,,
2026-05-14T10:02:50.386Z,all,inc-21,6,,45.7531938478,21.2325556207
2026-05-14T10:02:50.386Z,all,inc-22,6,,45.7567705449,21.2338229644
2026-05-14T10:02:50.386Z,all,inc-23,6,,45.7557084024,21.2337103116
2026-05-14T10:02:50.386Z,all,inc-24,6,,45.7690457068,21.2328265238
2026-05-14T10:02:50.386Z,all,inc-25,9,,,
2026-05-14T10:02:50.386Z,all,inc-26,9,,,
2026-05-14T10:02:50.386Z,all,inc-27,6,,45.7408194374,21.2384484339
2026-05-14T10:02:50.386Z,all,inc-28,6,,45.7463568514,21.2389956045
