pointId,collectedAt,slotHour,lat,lng,currentSpeedKph,freeFlowSpeedKph,currentTravelTimeSec,freeFlowTravelTimeSec,confidence,frc,roadClosure,segmentIndex,totalPoints,speedRatio,delaySeconds,congestionLevel,measurementMode
p-1-1,2026-05-14T04:30:00.000Z,7,45.7388453377955,21.209738068564292,52,52,39,39,1,FRC1,false,0,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73879034794849,21.209778301699515,52,52,39,39,1,FRC1,false,1,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73874074004003,21.209795736058112,52,52,39,39,1,FRC1,false,2,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73867100809417,21.209799759371634,52,52,39,39,1,FRC1,false,3,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.738522125418314,21.209776960595008,52,52,39,39,1,FRC1,false,4,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73837464635277,21.20975013850486,52,52,39,39,1,FRC1,false,5,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73823114492855,21.209724657519217,52,52,39,39,1,FRC1,false,6,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.737911965550516,21.209668331129848,52,52,39,39,1,FRC1,false,7,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.737683929019724,21.209628097994624,52,52,39,39,1,FRC1,false,8,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73711529615903,21.209542267306148,52,52,39,39,1,FRC1,false,9,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73683232310135,21.20949532864836,52,52,39,39,1,FRC1,false,10,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73656011301601,21.209445707781583,52,52,39,39,1,FRC1,false,11,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.736458202086,21.20942559121397,52,52,39,39,1,FRC1,false,12,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73615375523806,21.209366582615644,52,52,39,39,1,FRC1,false,13,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73604646131457,21.209346466047975,52,52,39,39,1,FRC1,false,14,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.735587797943474,21.209261976464006,52,52,39,39,1,FRC1,false,15,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73475634397313,21.20911981938619,52,52,39,39,1,FRC1,false,16,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73395968806576,21.20896827457682,52,52,39,39,1,FRC1,false,17,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.73379610805057,21.208929382546103,52,52,39,39,1,FRC1,false,18,19,1,0,low,relative
p-1-1,2026-05-14T04:30:00.000Z,7,45.7388453377955,21.209738068564292,52,52,39,39,1,FRC1,false,0,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73879034794849,21.209778301699515,52,52,39,39,1,FRC1,false,1,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73874074004003,21.209795736058112,52,52,39,39,1,FRC1,false,2,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73867100809417,21.209799759371634,52,52,39,39,1,FRC1,false,3,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.738522125418314,21.209776960595008,52,52,39,39,1,FRC1,false,4,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73837464635277,21.20975013850486,52,52,39,39,1,FRC1,false,5,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73823114492855,21.209724657519217,52,52,39,39,1,FRC1,false,6,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.737911965550516,21.209668331129848,52,52,39,39,1,FRC1,false,7,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.737683929019724,21.209628097994624,52,52,39,39,1,FRC1,false,8,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73711529615903,21.209542267306148,52,52,39,39,1,FRC1,false,9,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73683232310135,21.20949532864836,52,52,39,39,1,FRC1,false,10,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73656011301601,21.209445707781583,52,52,39,39,1,FRC1,false,11,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.736458202086,21.20942559121397,52,52,39,39,1,FRC1,false,12,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73615375523806,21.209366582615644,52,52,39,39,1,FRC1,false,13,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73604646131457,21.209346466047975,52,52,39,39,1,FRC1,false,14,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.735587797943474,21.209261976464006,52,52,39,39,1,FRC1,false,15,19,1,0,low,absolute
p-1-1,2026-05-14T04:30:00.000Z,7,45.73475634397313,21.20911981938619,52,52,39,39,1,FRC1,false,16,19,1,0,low,absolute
