collectedAt,timeSlot,incidentId,type,severity,lat,lng
2026-05-14T09:54:13.984Z,all,inc-0,8,,45.7569274493,21.1943998563
2026-05-14T09:54:13.984Z,all,inc-1,8,,45.732825149,21.2020736563
2026-05-14T09:54:13.984Z,all,inc-2,8,,45.7487587712,21.2031975019
2026-05-14T09:54:13.984Z,all,inc-3,8,,45.7474887759,21.2039632726
2026-05-14T09:54:13.984Z,all,inc-4,8,,45.7456809729,21.2053177881
2026-05-14T09:54:13.984Z,all,inc-5,8,,45.7460859746,21.2049503255
2026-05-14T09:54:13.984Z,all,inc-6,8,,45.7443907857,21.1995228755
2026-05-14T09:54:13.984Z,all,inc-7,8,,45.7469214712,21.207240932
2026-05-14T09:54:13.984Z,all,inc-8,6,,45.7361390126,21.2094457078
2026-05-14T09:54:13.984Z,all,inc-9,6,,45.7450680836,21.2114613879
2026-05-14T09:54:13.984Z,all,inc-10,6,,45.7505934372,21.2165884304
2026-05-14T09:54:13.984Z,all,inc-11,6,,45.7466666823,21.2165200341
2026-05-14T09:54:13.984Z,all,inc-12,9,,45.7690040775,21.2202778089
2026-05-14T09:54:13.984Z,all,inc-13,6,,45.7692857181,21.2208142507
2026-05-14T09:54:13.984Z,all,inc-14,6,,45.7581183409,21.2237432229
2026-05-14T09:54:13.984Z,all,inc-15,6,,45.7422598087,21.2293302643
2026-05-14T09:54:13.984Z,all,inc-16,6,,45.7481486062,21.2320486832
2026-05-14T09:54:13.984Z,all,inc-17,6,,45.7558813923,21.2290030348
2026-05-14T09:54:13.984Z,all,inc-18,6,,45.7628577952,21.2329820919
2026-05-14T09:54:13.984Z,all,inc-19,9,,,
2026-05-14T09:54:13.984Z,all,inc-20,9,,,
2026-05-14T09:54:13.984Z,all,inc-21,6,,45.7531401587,21.2315658855
2026-05-14T09:54:13.984Z,all,inc-22,6,,45.7557084024,21.2337103116
2026-05-14T09:54:13.984Z,all,inc-23,9,,,
2026-05-14T09:54:13.984Z,all,inc-24,9,,,
